code,pop
sgp,390
usa,49787
gbr,10531
aut,625
can,4743
jpn,3674
esp,1274
che,1856
deu,6006
fra,3328
bel,904
nld,2278
dnk,1023
aus,3404
sau,141
zaf,328
twn,455
grc,300
chn,2023
ind,645
ita,2281
swe,1706
kor,519
bra,305
isr,1048
irl,312
fin,706
nor,539
hkg,546
rus,373
qat,25
nzl,461
cze,193
est,15
mys,40
svn,55
pol,335
ury,10
mex,112
hun,199
irn,130
cyp,25
gmb,3
col,17
mac,12
geo,21
tur,196
svk,30
srb,13
isl,32
prt,172
egy,74
are,40
lbn,25
bgd,12
chl,66
pri,18
pak,26
phl,14
arg,97
tun,2
bgr,29
nga,13
tha,41
jam,3
lux,15
ven,10
tza,3
hrv,18
vnm,6
eth,1
ukr,27
